District Code ,School Code,School Name,Grade,Number Enrolled
0130,040,JOSEPH L FRAZIER ELEMENTARY,Grade 1,95
0130,040,JOSEPH L FRAZIER ELEMENTARY,Grade 2,98
0130,040,JOSEPH L FRAZIER ELEMENTARY,Grade 3,104
0130,040,JOSEPH L FRAZIER ELEMENTARY,Grade 4,88
0130,040,JOSEPH L FRAZIER ELEMENTARY,Grade 5,72
0130,040,JOSEPH L FRAZIER ELEMENTARY,Grade 6,N/A
0130,040,JOSEPH L FRAZIER ELEMENTARY,Grade 7,N/A
0130,040,JOSEPH L FRAZIER ELEMENTARY,Grade 8,N/A
0130,040,JOSEPH L FRAZIER ELEMENTARY,Grade 9,N/A
0130,040,JOSEPH L FRAZIER ELEMENTARY,Grade 10,N/A
0130,040,JOSEPH L FRAZIER ELEMENTARY,Grade 11,N/A
0130,040,JOSEPH L FRAZIER ELEMENTARY,Grade 12,N/A
0130,040,JOSEPH L FRAZIER ELEMENTARY,Secondary Special Education,N/A
0130,040,JOSEPH L FRAZIER ELEMENTARY,Secondary GED,N/A
0130,040,JOSEPH L FRAZIER ELEMENTARY,Total Enrollment,*
0130,044,NATCHEZ HIGH SCHOOL,Pre-Kindergarten,N/A
0130,044,NATCHEZ HIGH SCHOOL,Special Education Pre-K,N/A
0130,044,NATCHEZ HIGH SCHOOL,Kindergarten,N/A
0130,044,NATCHEZ HIGH SCHOOL,Special Education Kindergarten,N/A
0130,044,NATCHEZ HIGH SCHOOL,Elementary Special Education,N/A
0130,044,NATCHEZ HIGH SCHOOL,Grade 1,N/A
0130,044,NATCHEZ HIGH SCHOOL,Grade 2,N/A
0130,044,NATCHEZ HIGH SCHOOL,Grade 3,N/A
0130,044,NATCHEZ HIGH SCHOOL,Grade 4,N/A
0130,044,NATCHEZ HIGH SCHOOL,Grade 5,N/A
0130,044,NATCHEZ HIGH SCHOOL,Grade 6,N/A
0130,044,NATCHEZ HIGH SCHOOL,Grade 7,N/A
0130,044,NATCHEZ HIGH SCHOOL,Grade 8,N/A
0130,044,NATCHEZ HIGH SCHOOL,Grade 9,N/A
0130,044,NATCHEZ HIGH SCHOOL,Grade 10,291
0130,044,NATCHEZ HIGH SCHOOL,Grade 11,184
0130,044,NATCHEZ HIGH SCHOOL,Grade 12,203
0130,044,NATCHEZ HIGH SCHOOL,Secondary Special Education,32
0130,044,NATCHEZ HIGH SCHOOL,Secondary GED,*
0130,044,NATCHEZ HIGH SCHOOL,Total Enrollment,*
0130,045,NATCHEZ FRESHMAN ACADEMY,Pre-Kindergarten,N/A
0130,045,NATCHEZ FRESHMAN ACADEMY,Special Education Pre-K,N/A
0130,045,NATCHEZ FRESHMAN ACADEMY,Kindergarten,N/A
0130,045,NATCHEZ FRESHMAN ACADEMY,Special Education Kindergarten,N/A
0130,045,NATCHEZ FRESHMAN ACADEMY,Elementary Special Education,N/A
0130,045,NATCHEZ FRESHMAN ACADEMY,Grade 1,N/A
0130,045,NATCHEZ FRESHMAN ACADEMY,Grade 2,N/A
0130,045,NATCHEZ FRESHMAN ACADEMY,Grade 3,N/A
0130,045,NATCHEZ FRESHMAN ACADEMY,Grade 4,N/A
0130,045,NATCHEZ FRESHMAN ACADEMY,Grade 5,N/A
0130,045,NATCHEZ FRESHMAN ACADEMY,Grade 6,N/A
0130,045,NATCHEZ FRESHMAN ACADEMY,Grade 7,N/A
0130,045,NATCHEZ FRESHMAN ACADEMY,Grade 8,N/A
0130,045,NATCHEZ FRESHMAN ACADEMY,Grade 9,298
0130,045,NATCHEZ FRESHMAN ACADEMY,Grade 10,N/A
0130,045,NATCHEZ FRESHMAN ACADEMY,Grade 11,N/A
0130,045,NATCHEZ FRESHMAN ACADEMY,Grade 12,N/A
0130,045,NATCHEZ FRESHMAN ACADEMY,Secondary Special Education,N/A
0130,045,NATCHEZ FRESHMAN ACADEMY,Secondary GED,14
0130,045,NATCHEZ FRESHMAN ACADEMY,Total Enrollment,312
0130,056,SUSIE B WEST ELEMENTARY SCHOOL,Pre-Kindergarten,N/A
0130,056,SUSIE B WEST ELEMENTARY SCHOOL,Special Education Pre-K,N/A
0130,056,SUSIE B WEST ELEMENTARY SCHOOL,Kindergarten,78
0130,056,SUSIE B WEST ELEMENTARY SCHOOL,Special Education Kindergarten,N/A
0130,056,SUSIE B WEST ELEMENTARY SCHOOL,Elementary Special Education,*
0130,056,SUSIE B WEST ELEMENTARY SCHOOL,Grade 1,103
0130,056,SUSIE B WEST ELEMENTARY SCHOOL,Grade 2,83
0130,056,SUSIE B WEST ELEMENTARY SCHOOL,Grade 3,91
0130,056,SUSIE B WEST ELEMENTARY SCHOOL,Grade 4,74
0130,056,SUSIE B WEST ELEMENTARY SCHOOL,Grade 5,70
0130,056,SUSIE B WEST ELEMENTARY SCHOOL,Grade 6,N/A
0130,056,SUSIE B WEST ELEMENTARY SCHOOL,Grade 7,N/A
0130,056,SUSIE B WEST ELEMENTARY SCHOOL,Grade 8,N/A
0130,056,SUSIE B WEST ELEMENTARY SCHOOL,Grade 9,N/A
0130,056,SUSIE B WEST ELEMENTARY SCHOOL,Grade 10,N/A
0130,056,SUSIE B WEST ELEMENTARY SCHOOL,Grade 11,N/A
0130,056,SUSIE B WEST ELEMENTARY SCHOOL,Grade 12,N/A
0130,056,SUSIE B WEST ELEMENTARY SCHOOL,Secondary Special Education,N/A
0130,056,SUSIE B WEST ELEMENTARY SCHOOL,Secondary GED,N/A
0130,056,SUSIE B WEST ELEMENTARY SCHOOL,Total Enrollment,*
0200,000,District Level Data,Pre-Kindergarten,38
0200,000,District Level Data,Special Education Pre-K,*
0200,000,District Level Data,Kindergarten,248
0200,000,District Level Data,Special Education Kindergarten,*
0200,000,District Level Data,Elementary Special Education,14
0200,000,District Level Data,Grade 1,283
0200,000,District Level Data,Grade 2,246
0200,000,District Level Data,Grade 3,260
0200,000,District Level Data,Grade 4,222
0200,000,District Level Data,Grade 5,256
0200,000,District Level Data,Grade 6,256
0200,000,District Level Data,Grade 7,254
0200,000,District Level Data,Grade 8,282
0200,000,District Level Data,Grade 9,291
0200,000,District Level Data,Grade 10,263
0200,000,District Level Data,Grade 11,234
0200,000,District Level Data,Grade 12,228
0200,000,District Level Data,Secondary Special Education,18
0200,000,District Level Data,Secondary GED,*
0200,000,District Level Data,Total Enrollment,3414
0200,002,BIGGERSVILLE ELEMENTARY,Pre-Kindergarten,N/A
0200,002,BIGGERSVILLE ELEMENTARY,Special Education Pre-K,N/A
0200,002,BIGGERSVILLE ELEMENTARY,Kindergarten,22
0200,002,BIGGERSVILLE ELEMENTARY,Special Education Kindergarten,N/A
0200,002,BIGGERSVILLE ELEMENTARY,Elementary Special Education,N/A
0200,002,BIGGERSVILLE ELEMENTARY,Grade 1,18
0200,002,BIGGERSVILLE ELEMENTARY,Grade 2,16
0200,002,BIGGERSVILLE ELEMENTARY,Grade 3,22
0200,002,BIGGERSVILLE ELEMENTARY,Grade 4,22
0200,002,BIGGERSVILLE ELEMENTARY,Grade 5,21
0200,002,BIGGERSVILLE ELEMENTARY,Grade 6,21
0200,002,BIGGERSVILLE ELEMENTARY,Grade 7,N/A
0200,002,BIGGERSVILLE ELEMENTARY,Grade 8,N/A
0200,002,BIGGERSVILLE ELEMENTARY,Grade 9,N/A
0200,002,BIGGERSVILLE ELEMENTARY,Grade 10,N/A
0200,002,BIGGERSVILLE ELEMENTARY,Grade 11,N/A
0200,002,BIGGERSVILLE ELEMENTARY,Grade 12,N/A
0200,002,BIGGERSVILLE ELEMENTARY,Secondary Special Education,N/A
0200,002,BIGGERSVILLE ELEMENTARY,Secondary GED,N/A
0200,002,BIGGERSVILLE ELEMENTARY,Total Enrollment,142
0200,004,BIGGERSVILLE HIGH SCHOOL,Pre-Kindergarten,N/A
0200,004,BIGGERSVILLE HIGH SCHOOL,Special Education Pre-K,N/A
0200,004,BIGGERSVILLE HIGH SCHOOL,Kindergarten,N/A
0200,004,BIGGERSVILLE HIGH SCHOOL,Special Education Kindergarten,N/A
0200,004,BIGGERSVILLE HIGH SCHOOL,Elementary Special Education,N/A
0200,004,BIGGERSVILLE HIGH SCHOOL,Grade 1,N/A
0200,004,BIGGERSVILLE HIGH SCHOOL,Grade 2,N/A
0200,004,BIGGERSVILLE HIGH SCHOOL,Grade 3,N/A
0200,004,BIGGERSVILLE HIGH SCHOOL,Grade 4,N/A
0200,004,BIGGERSVILLE HIGH SCHOOL,Grade 5,N/A
0200,004,BIGGERSVILLE HIGH SCHOOL,Grade 6,N/A
0200,004,BIGGERSVILLE HIGH SCHOOL,Grade 7,34
0200,004,BIGGERSVILLE HIGH SCHOOL,Grade 8,45
0200,004,BIGGERSVILLE HIGH SCHOOL,Grade 9,47
0200,004,BIGGERSVILLE HIGH SCHOOL,Grade 10,35
0200,004,BIGGERSVILLE HIGH SCHOOL,Grade 11,36
0200,004,BIGGERSVILLE HIGH SCHOOL,Grade 12,39
0200,004,BIGGERSVILLE HIGH SCHOOL,Secondary Special Education,*
0200,004,BIGGERSVILLE HIGH SCHOOL,Secondary GED,*
0200,004,BIGGERSVILLE HIGH SCHOOL,Total Enrollment,236
0200,006,ALCORN CENTRAL ELEMENTARY SCHOOL,Pre-Kindergarten,N/A
0200,006,ALCORN CENTRAL ELEMENTARY SCHOOL,Special Education Pre-K,*
0200,006,ALCORN CENTRAL ELEMENTARY SCHOOL,Kindergarten,81
0200,006,ALCORN CENTRAL ELEMENTARY SCHOOL,Special Education Kindergarten,*
0200,006,ALCORN CENTRAL ELEMENTARY SCHOOL,Elementary Special Education,*
0200,006,ALCORN CENTRAL ELEMENTARY SCHOOL,Grade 1,107
0200,006,ALCORN CENTRAL ELEMENTARY SCHOOL,Grade 2,86
0200,006,ALCORN CENTRAL ELEMENTARY SCHOOL,Grade 3,83
0200,006,ALCORN CENTRAL ELEMENTARY SCHOOL,Grade 4,76
0200,006,ALCORN CENTRAL ELEMENTARY SCHOOL,Grade 5,N/A
0200,006,ALCORN CENTRAL ELEMENTARY SCHOOL,Grade 6,N/A
0200,006,ALCORN CENTRAL ELEMENTARY SCHOOL,Grade 7,N/A
0200,006,ALCORN CENTRAL ELEMENTARY SCHOOL,Grade 8,N/A
0200,006,ALCORN CENTRAL ELEMENTARY SCHOOL,Grade 9,N/A
0200,006,ALCORN CENTRAL ELEMENTARY SCHOOL,Grade 10,N/A
0200,006,ALCORN CENTRAL ELEMENTARY SCHOOL,Grade 11,N/A
0200,006,ALCORN CENTRAL ELEMENTARY SCHOOL,Grade 12,N/A
0200,006,ALCORN CENTRAL ELEMENTARY SCHOOL,Secondary Special Education,N/A
0200,006,ALCORN CENTRAL ELEMENTARY SCHOOL,Secondary GED,N/A
0200,006,ALCORN CENTRAL ELEMENTARY SCHOOL,Total Enrollment,433
0200,008,ALCORN CENTRAL HIGH SCHOOL,Pre-Kindergarten,N/A
0200,008,ALCORN CENTRAL HIGH SCHOOL,Special Education Pre-K,N/A
0200,008,ALCORN CENTRAL HIGH SCHOOL,Kindergarten,N/A
0200,008,ALCORN CENTRAL HIGH SCHOOL,Special Education Kindergarten,N/A
0200,008,ALCORN CENTRAL HIGH SCHOOL,Elementary Special Education,N/A
0200,008,ALCORN CENTRAL HIGH SCHOOL,Grade 1,N/A
0200,008,ALCORN CENTRAL HIGH SCHOOL,Grade 2,N/A
0200,008,ALCORN CENTRAL HIGH SCHOOL,Grade 3,N/A
0200,008,ALCORN CENTRAL HIGH SCHOOL,Grade 4,N/A
0200,008,ALCORN CENTRAL HIGH SCHOOL,Grade 5,N/A
0200,008,ALCORN CENTRAL HIGH SCHOOL,Grade 6,N/A
0200,008,ALCORN CENTRAL HIGH SCHOOL,Grade 7,N/A
0200,008,ALCORN CENTRAL HIGH SCHOOL,Grade 8,N/A
0200,008,ALCORN CENTRAL HIGH SCHOOL,Grade 9,123
0200,008,ALCORN CENTRAL HIGH SCHOOL,Grade 10,120
0200,008,ALCORN CENTRAL HIGH SCHOOL,Grade 11,91
0200,008,ALCORN CENTRAL HIGH SCHOOL,Grade 12,92
0200,008,ALCORN CENTRAL HIGH SCHOOL,Secondary Special Education,*
0200,008,ALCORN CENTRAL HIGH SCHOOL,Secondary GED,*
0200,008,ALCORN CENTRAL HIGH SCHOOL,Total Enrollment,426
0200,010,ALCORN CENTRAL MIDDLE SCHOOL,Pre-Kindergarten,N/A
0200,010,ALCORN CENTRAL MIDDLE SCHOOL,Special Education Pre-K,N/A
0200,010,ALCORN CENTRAL MIDDLE SCHOOL,Kindergarten,N/A
0200,010,ALCORN CENTRAL MIDDLE SCHOOL,Special Education Kindergarten,N/A
0200,010,ALCORN CENTRAL MIDDLE SCHOOL,Elementary Special Education,N/A
0200,010,ALCORN CENTRAL MIDDLE SCHOOL,Grade 1,N/A
0200,010,ALCORN CENTRAL MIDDLE SCHOOL,Grade 2,N/A
0200,010,ALCORN CENTRAL MIDDLE SCHOOL,Grade 3,N/A
0200,010,ALCORN CENTRAL MIDDLE SCHOOL,Grade 4,N/A
0200,010,ALCORN CENTRAL MIDDLE SCHOOL,Grade 5,90
0200,010,ALCORN CENTRAL MIDDLE SCHOOL,Grade 6,81
0200,010,ALCORN CENTRAL MIDDLE SCHOOL,Grade 7,97
0200,010,ALCORN CENTRAL MIDDLE SCHOOL,Grade 8,121
0200,010,ALCORN CENTRAL MIDDLE SCHOOL,Grade 9,N/A
0200,010,ALCORN CENTRAL MIDDLE SCHOOL,Grade 10,N/A
0200,010,ALCORN CENTRAL MIDDLE SCHOOL,Grade 11,N/A
0200,010,ALCORN CENTRAL MIDDLE SCHOOL,Grade 12,N/A
0200,010,ALCORN CENTRAL MIDDLE SCHOOL,Secondary Special Education,*
0200,010,ALCORN CENTRAL MIDDLE SCHOOL,Secondary GED,N/A
0200,010,ALCORN CENTRAL MIDDLE SCHOOL,Total Enrollment,*
0200,020,GLENDALE ELEMENTARY SCHOOL,Pre-Kindergarten,20
0200,020,GLENDALE ELEMENTARY SCHOOL,Special Education Pre-K,N/A
0200,020,GLENDALE ELEMENTARY SCHOOL,Kindergarten,22
0200,020,GLENDALE ELEMENTARY SCHOOL,Special Education Kindergarten,N/A
0200,020,GLENDALE ELEMENTARY SCHOOL,Elementary Special Education,N/A
0200,020,GLENDALE ELEMENTARY SCHOOL,Grade 1,23
0200,020,GLENDALE ELEMENTARY SCHOOL,Grade 2,14
0200,020,GLENDALE ELEMENTARY SCHOOL,Grade 3,24
0200,020,GLENDALE ELEMENTARY SCHOOL,Grade 4,19
0200,020,GLENDALE ELEMENTARY SCHOOL,Grade 5,18
0200,020,GLENDALE ELEMENTARY SCHOOL,Grade 6,15
0200,020,GLENDALE ELEMENTARY SCHOOL,Grade 7,N/A
0200,020,GLENDALE ELEMENTARY SCHOOL,Grade 8,N/A
0200,020,GLENDALE ELEMENTARY SCHOOL,Grade 9,N/A
0200,020,GLENDALE ELEMENTARY SCHOOL,Grade 10,N/A
0200,020,GLENDALE ELEMENTARY SCHOOL,Grade 11,N/A
0200,020,GLENDALE ELEMENTARY SCHOOL,Grade 12,N/A
0200,020,GLENDALE ELEMENTARY SCHOOL,Secondary Special Education,N/A
0200,020,GLENDALE ELEMENTARY SCHOOL,Secondary GED,N/A
0200,020,GLENDALE ELEMENTARY SCHOOL,Total Enrollment,155
0200,022,KOSSUTH ELEMENTARY SCHOOL,Pre-Kindergarten,N/A
